date,euro,japan,canada,uk,mexico,india,switzerland,thailand,denmark,australia
6/16/2006,-0.05547,0.052133,0.45546,-0.037878,0.050789,-0.30594,0.073043,0.078156,-0.05249,-0.16254
6/19/2006,0.36508,0.12154,0.08016,0.45005,0.29023,0.15309,0.70335,0.2341,0.3871,0.18965
6/20/2006,0.071585,-0.20844,-0.61621,0.010869,0,0.087374,-0.088656,-0.31226,0.067463,0.040686
6/21/2006,-0.76884,-0.2263,-1.0899,-0.33099,-0.28847,0,-0.59035,-0.026065,-0.77009,0.013566
6/22/2006,0.65751,1.023,1.1973,0.83774,0.105,0.41399,0.74344,0.18232,0.67056,0.29891
6/23/2006,0.47801,0.27562,0.58887,0.55875,0.043716,0.043478,0.3857,0.026018,0.48823,0.46372
6/26/2006,-0.25522,0.10316,0,0.076936,-0.24506,0.45538,-0.11234,0.078013,-0.25897,0.19157
6/27/2006,-0.27841,-0.10316,-0.27616,-0.25805,0.052562,-0.021638,-0.24921,-0.078013,-0.2799,-0.53275
6/28/2006,0.4538,0.13753,0.26726,0.42862,-0.21042,0.086524,0.44171,0.026011,0.48512,0.76587
6/29/2006,-0.015958,-0.21497,-0.75014,0.28125,-0.013166,-0.2598,0.088109,-0.026011,-0.010083,-0.43836
6/30/2006,-1.9358,-1.4392,-0.053797,-2.093,-0.93479,-0.56522,-1.9647,-0.7835,-1.9104,-1.452
7/3/2006,-0.10949,0.35741,-0.34139,0.43901,-1.1809,0.10894,0.04898,-0.36774,-0.10969,-0.17498
7/5/2006,0.5251,0.63322,0.026994,0.37005,0.23283,0,0.6751,0.49875,0.49777,0.39076
7/6/2006,-0.2433,-0.40723,0.0089964,-0.1852,-0.52013,0.15232,-0.30039,-0.10479,-0.23233,-0.69959
7/7/2006,-0.50823,-1.0473,0.14383,-0.74277,-0.81703,-0.32669,-0.61985,-0.89521,-0.4955,-0.73466
7/10/2006,0.55527,-0.0087739,1.0189,0.50362,-0.68676,0.28319,0.57919,0,0.5126,0.40005
7/11/2006,-0.023525,0.15781,0.82356,-0.0597,0.34624,0.086975,-0.065094,0,0.0085496,-0.55963
7/12/2006,0.37706,1.0978,0.12339,0.4568,0.30878,0.17372,0.47097,0.10574,0.38057,-0.13278
7/13/2006,0.26006,0.034653,-0.29993,-0.3102,0.15403,0.15176,-0.14593,0.052826,0.23818,-0.039801
7/14/2006,0.25282,0.75934,-0.39835,0.21758,-0.14497,0.06497,0.25928,0.39531,0.27152,-0.026525
7/17/2006,0.88995,0.64265,0.42485,0.88058,-0.42251,0.96952,0.95032,0.39375,0.8841,0.63855
7/18/2006,0.23173,0.30701,0.11475,-0.37287,-0.1914,-0.064343,0.42392,-0.026202,0.24495,0.38778
7/19/2006,-0.47885,-0.30701,0.15867,-0.57848,-0.48927,0.42817,-0.25573,-0.13111,-0.5006,-0.28096
7/20/2006,-0.62701,-0.21376,-0.079306,-0.64005,-0.38578,-0.12826,-0.49735,-0.36803,-0.60472,-0.41331
7/21/2006,-0.35541,-0.42029,0.25532,-0.49082,0.39953,-0.23557,-0.49984,0,-0.38875,-0.17281
7/24/2006,0.42664,0.26611,0.35985,0.50704,0.16028,0.40655,0.73278,0.052659,0.45311,-0.092931
7/25/2006,0.42847,0.55568,0.0087608,0.46072,-0.07324,-0.14959,0.56005,0.052632,0.42578,0.092931
7/26/2006,-0.41263,-0.38437,-0.35103,-0.36333,0.20128,-0.17123,-0.36768,-0.13163,-0.41223,-0.85962
7/27/2006,-0.82019,-1.1188,-0.25527,-0.82478,-0.41949,-0.34335,-1.0788,-0.47531,-0.80741,-0.617
7/28/2006,-0.12559,-0.70346,-0.43281,-0.096587,-0.0018357,0.021494,-0.17013,0.36988,-0.10245,-0.28751
7/31/2006,-0.12543,-0.2618,0.10617,-0.21431,0.19256,-0.086003,-0.17854,-0.23762,-0.14874,-0.013049
8/1/2006,-0.10962,0.45336,0.026524,-0.13905,0.96637,0.043011,0.048725,0.18487,-0.082161,0.41841
8/2/2006,-0.1564,-0.36601,-0.47851,-0.37341,-0.60517,0.21478,-0.19504,-0.13201,-0.17653,-0.091677
8/3/2006,0.14857,0.63531,0.035524,-0.3508,0.22338,-0.2793,0.31675,0.079229,0.12172,0.51185
8/4/2006,-0.89589,-0.92383,0.062137,-1.323,-0.81387,-0.12917,-1.0024,-0.37027,-0.86035,-0.76026
8/7/2006,0.20962,0.55881,-0.77503,-0.020942,-0.096456,0.19369,0.1146,-0.079523,0.20716,0.2746
8/8/2006,0.21785,0.13922,0.18763,0.13096,0.27993,-0.08604,0.31041,-0.39857,0.18091,0.36731
8/9/2006,-0.38092,0.11297,-0.053571,-0.062883,-0.73129,-0.15075,-0.26951,-0.079904,-0.35006,-0.75936
8/10/2006,0.95896,0.39007,0.57883,1.0585,0.58454,-0.17256,1.1788,-0.079968,0.96103,-0.052158
8/11/2006,0.062691,0.50913,-0.49849,-0.33827,-0.72774,0.38785,0.12116,-0.48116,0.059865,-0.026069
8/14/2006,0.1726,0.3008,0.30295,0.26417,-0.14341,0.043002,0.12101,0.080354,0.17597,0.9691
8/15/2006,-0.41531,-0.49034,-0.13354,-0.24306,0.12029,-0.10754,-0.25025,0.10704,-0.4105,-0.65583
8/16/2006,-0.59255,-0.21582,-0.58075,-0.2688,-0.67737,0,-0.81156,-0.053505,-0.61893,-0.65155
8/17/2006,-0.046631,-0.23361,0,0.31103,0.093062,-0.23699,0.032589,0.45388,-0.010348,0.78237
8/18/2006,0.46729,0.30273,0.66089,0.69938,0.81985,0.043131,0.51188,-0.026642,0.45945,0.78854
8/21/2006,-0.80859,0.060436,-0.45501,-0.8471,-0.30955,0.043113,-0.92001,-0.18669,-0.81366,-0.80163
8/22/2006,0.85544,0.64525,-0.26862,0.45972,-0.050913,0.08617,0.93622,0.39963,0.85657,0.19653
8/23/2006,0.078131,-0.15448,-0.47634,-0.2539,0.44346,0.021531,0.12957,-0.053191,0.05147,-0.039337
8/24/2006,0.2661,-0.042953,0.09005,0.23801,0.67984,-0.064606,0.19403,0.15949,0.28432,-0.052425
8/25/2006,-0.054844,0.79593,-0.28844,0,0.38381,-0.021545,-0.048473,0.053107,-0.054747,0.84211
8/28/2006,-0.13307,-0.13648,0.37841,-0.44383,-0.29229,0.1292,-0.13747,-0.053107,-0.16099,-0.23756
8/29/2006,0.12523,-0.19652,-0.089969,0.2851,-0.26563,-0.043048,-0.016185,-0.23933,0.15244,-0.27644
8/30/2006,-0.44543,0.12821,-0.099059,-0.67447,-0.24335,-0.17238,-0.51118,0.053234,-0.48896,-0.4983
8/31/2006,0.24982,0.23889,-0.29777,0.094572,0.32586,0.12931,0.34918,-0.053234,0.27994,0.1964
9/1/2006,-0.31218,-0.11937,-0.090408,-0.13658,-0.16509,-0.10775,-0.22724,-0.21322,-0.31434,-0.43157
9/5/2006,0.17939,-1.0032,0.49623,0.65305,-0.53383,-0.4105,0.31637,-0.34745,0.17705,-0.53361
9/6/2006,0.17971,0.59286,-0.53242,0.6148,0.91405,-0.12998,0.25076,0,0.16988,0.58582
9/7/2006,0.23489,-0.36905,0.42436,0.25018,0.72436,0.021676,0.21789,0,0.25513,0.77332
9/8/2006,0.66064,0.50603,0.82549,0.57726,-0.045403,-0.17354,0.60277,0.24067,0.66982,0.79261
